action_id,gm_id,point,poss,thr_id,rec_id,num_passes,dist_from_ez,dist_from_middle,dist_from_mid_ez,from_pull,o_pt,upwind,downwind,wind_speed,opp_rank,opp_rtg,decayed_rtg,bracket,consolation,other,postseason,tct,scored_on_poss,scored_on_pt,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_13,player_14,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_35
84,1,12,1,20,26,5,22.0312508,8.923076,23.76967179,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
85,1,12,1,26,23,6,5.7031247,11.6153848,12.93996891,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
86,1,13,1,14,25,0,85.312504,1.692308,85.32928715,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
87,1,13,1,25,4,1,79.7656275,14.307692,81.03866596,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
88,1,13,1,4,14,2,71.953125,4.0769232,72.06853336,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
89,1,13,1,14,27,3,76.1718725,0.076924,76.17191134,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
90,1,13,1,27,14,4,69.9218716,12.0769232,70.9571716,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
91,1,13,1,14,25,5,75.390625,9.5384608,75.99163488,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
92,1,13,1,25,27,6,13.9843757,3.923076,14.5242311,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
93,1,13,1,27,25,7,9.765626,12.2307692,15.65117141,1,1,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
95,1,14,1,23,1,0,34.453124,17.153846,38.48729902,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
96,1,14,1,1,29,1,38.828121,4.4615388,39.08360665,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
97,1,14,1,29,8,2,29.609373,7.384616,30.51634845,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
99,1,14,2,28,5,0,35.859375,0.076924,35.85945751,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
100,1,14,2,5,1,1,29.3749993,10.153846,31.08039852,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
101,1,14,2,1,16,2,19.6093742,6,20.50676855,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
102,1,14,2,16,23,3,10.312502,4.0769232,11.08913884,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
103,1,14,3,1,23,0,70.624996,14.923076,72.18440453,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
104,1,14,3,23,1,1,78.593748,0.2307688,78.59408679,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
105,1,14,3,1,23,2,68.5937525,9.076922,69.19171479,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
106,1,14,3,23,28,3,57.1875016,18.769232,60.18882296,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
107,1,14,3,28,8,4,1.3281255,6.5384628,6.671987195,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
109,1,14,4,23,29,0,70.5468784,0.615384,70.54956236,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
110,1,14,4,29,5,1,60.312496,14.2307692,61.96863695,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
111,1,14,4,5,28,2,45.8593716,12.153846,47.44257514,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
112,1,14,5,1,28,0,57.578127,7.923076,58.12070063,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
